44.html 392 "1_BR_Luxury_Apartment-Forest_Ridge_(Sublease)_with_Den" http://bloomington.craigslist.org/apa/5827202810.html
45.html 207 "**LEASE_PENDING**_AUG_2017/18_NEAR_IU_Campus_and_Bryan_Park" http://bloomington.craigslist.org/apa/5816142589.html
46.html 192 "Avail_Aug_2017-2018_Centrally_Located_To_Downtown_&_Campus" http://bloomington.craigslist.org/apa/5834366717.html
47.html 208 "AVAIL_AUG_2017-2018-_GREAT_LOCATION!_NEAR_DOWNTOWN_&_CAMPUS" http://bloomington.craigslist.org/apa/5810772785.html
48.html 205 "3_Bedroom_-_Available_NOW_-_Great_Location_near_campus" http://bloomington.craigslist.org/apa/5792380844.html
49.html 187 "AVAIL_AUG_2017/18_-_AMAZING_LOCATION-_BLOCKS_FROM_CAMPUS_&_DOWNTOWN!" http://bloomington.craigslist.org/apa/5794215311.html
50.html 201 "AVAIL_AUG_2017-2018_-_Conveniently_Located_To_Campus" http://bloomington.craigslist.org/apa/5794278622.html
51.html 195 "AVAIL_AUG_2017-2018_-_Conveniently_Located_To_Campus" http://bloomington.craigslist.org/apa/5794378819.html
52.html 198 "AVAIL_AUG_2017/18_-_LARGE_HOUSE,_AMAZING_LOCATION-_BLOCKS_FROM_CAMPUS" http://bloomington.craigslist.org/apa/5792638371.html
53.html 221 "Updated_House_W/Great_Location!_Blocks_From_IU_Campus_&_Downtown!" http://bloomington.craigslist.org/apa/5792533887.html
54.html 213 "Great_Location!_Avail_Aug_2017-2018_-_Blocks_From_Campus_&_Downtown" http://bloomington.craigslist.org/apa/5816128294.html
55.html 209 "AVAIL_AUG_2017-2018_-_Conveniently_Located_To_Campus_and_Bryan_Park" http://bloomington.craigslist.org/apa/5816230774.html
56.html 178 "Avail_Aug_2017/2018_-_Blocks_From_Campus_and_Bryan_Park" http://bloomington.craigslist.org/apa/5812807625.html
57.html 193 "Avail_Aug._2017-2018_-_Blocks_From_Campus_&_Bryan_Park!" http://bloomington.craigslist.org/apa/5812760338.html
58.html 197 "Great_Location!_Avail_Aug_2017-2018_-_Two_Blocks_From_Campus" http://bloomington.craigslist.org/apa/5812394380.html
59.html 210 "Avail_Nov._12_2016_Spacious_Condo-South_Side_Bloomington_On_Winslow_Rd" http://bloomington.craigslist.org/apa/5817229996.html
60.html 184 "Ideal_Location_Just_Blocks_From_Campus!_Avail_Aug_2017/18" http://bloomington.craigslist.org/apa/5817292195.html
61.html 178 "AVAIL_AUG_2017-2018_-_Close_to_downtown_and_IU_Stadium" http://bloomington.craigslist.org/apa/5817758120.html
62.html 193 "AVAIL_AUG_2017-2018_-_Conveniently_Located_To_Campus_and_Downtown" http://bloomington.craigslist.org/apa/5817799669.html
63.html 182 "AVAIL_AUG_2017_-_Close_To_Campus_&_Downtown" http://bloomington.craigslist.org/apa/5826539938.html
64.html 176 "AVAIL_AUG_2017-2018_-_Conveniently_Located_To_Campus_and_Downtown" http://bloomington.craigslist.org/apa/5826544061.html
65.html 178 "Avail_Aug_2017-_Close_To_Campus_&_Downtown" http://bloomington.craigslist.org/apa/5826557534.html
66.html 183 "AVAIL_AUG_2017_-_Close_To_Campus_&_Downtown" http://bloomington.craigslist.org/apa/5826593101.html
67.html 180 "AVAIL_AUG_2017_-_Close_To_Campus_&_Downtown" http://bloomington.craigslist.org/apa/5826613923.html
68.html 179 "**ALL_TILE**_Must_See!_Call_Today!" http://bloomington.craigslist.org/apa/5813102672.html
69.html 195 "Jamestown_Square_Apartments_of_Vincennes-One_bedroom_Apartment" http://bloomington.craigslist.org/apa/5838233149.html
70.html 169 "Cozy,_one-bedroom_apartment_in_Vincennes" http://bloomington.craigslist.org/apa/5838232665.html
71.html 170 "AVAIL_AUG_2017-2018_-_Near_Campus_&_East_side_Shopping" http://bloomington.craigslist.org/apa/5838226776.html
72.html 242 "Hillside_Terrace,_available_NOW!" http://bloomington.craigslist.org/apa/5795384982.html
73.html 231 "Are_you_tired_of_your_roomate?__Your_Studio_is_Ready!" http://bloomington.craigslist.org/apa/5838158833.html
74.html 197 "AVAIL_AUG_2017-2018_-_Conveniently_Located_To_Campus_and_Downtown" http://bloomington.craigslist.org/apa/5826697653.html
75.html 150 "LIMITED_NUMBER_LEFT!_LARGE_2BR_APTS/GOOD_LOCATION/GREAT_PRICES!!" http://bloomington.craigslist.org/apa/5838122844.html
76.html 418 "WHY_PAY_MORE/RENT_THE_BEST_FOR_LESS!!" http://bloomington.craigslist.org/apa/5838122028.html
77.html 243 "3_Br_Near_Westside_Bloomington_House_-_Big_kitchen/greatroom" http://bloomington.craigslist.org/apa/5838121426.html
78.html 218 "$800!_2_Br_2_Ba_For_Rent_In_Columbus_IN!" http://bloomington.craigslist.org/apa/5826578652.html
79.html 250 "Private_and_quiet_area_4_bedrooms_2_bth_good_schools" http://bloomington.craigslist.org/apa/5821321275.html
80.html 351 "Extra_Storage,_Private_Entrances,_Professionally_Managed" http://bloomington.craigslist.org/apa/5838080603.html
81.html 327 "Extra_Storage,_Private_Entrances,_Professionally_Managed" http://bloomington.craigslist.org/apa/5838080072.html
82.html 174 "Beautiful_Previously_Loved_Home" http://bloomington.craigslist.org/apa/5823838488.html
83.html 198 "3_bed,_2.5_bath" http://bloomington.craigslist.org/apa/5838013158.html
84.html 162 "4_bed,_1_bath" http://bloomington.craigslist.org/apa/5837990685.html
85.html 144 "4_bed,_2_bath" http://bloomington.craigslist.org/apa/5837959578.html
